Time	Iteration	Average_Return	Std_Return	Max_Return	Min_Return	Average_Advs	Std_Advs	Max_Advs	Min_Advs	Num_Total_Ep	Mean_Ep_Len	Std_Ep_Len	Sec_per_iteration: 
4.949771999999999	0	22.82	10.97212832589922	50.0	10.0	1.1013412404281553e-15	4.744061839801937e-15	9.103828801926284e-15	-1.1102230246251565e-14	50	22.82	10.97212832589922	4.949771999999999
4.615141999999999	1	22.26	8.790472114738776	50.0	10.0	4.2188474935755947e-16	4.1806346878479206e-15	1.3988810110276972e-14	-1.1324274851176597e-14	50	22.26	8.790472114738776	4.615141999999999
7.232284	2	34.62	12.547334378265369	50.0	10.0	-1.376676550535194e-16	5.580682001456149e-15	2.020605904817785e-14	-1.3988810110276972e-14	50	34.62	12.547334378265369	7.232284
8.376284000000002	3	39.98	9.532030213968062	50.0	16.0	-2.708944180085382e-16	5.841130547673545e-15	1.0880185641326534e-14	-1.6209256159527285e-14	50	39.98	9.532030213968062	8.376284000000002
9.227529000000004	4	43.32	8.895931654413719	50.0	20.0	1.723066134218243e-15	6.792904452729138e-15	1.554312234475219e-14	-1.5987211554602254e-14	50	43.32	8.895931654413719	9.227529000000004
9.429161999999998	5	45.02	7.551132365413812	50.0	24.0	9.547918011776346e-16	5.438642540131462e-15	1.354472090042691e-14	-9.325873406851315e-15	50	45.02	7.551132365413812	9.429161999999998
9.840274	6	46.32	6.011455730519855	50.0	29.0	-3.5660363550960025e-15	8.560032345960004e-15	1.5987211554602254e-14	-1.7319479184152442e-14	50	46.32	6.011455730519855	9.840274
9.998468999999993	7	47.56	5.288326767513521	50.0	30.0	1.483257960899209e-15	4.0651607052013195e-15	9.547918011776346e-15	-5.773159728050814e-15	50	47.56	5.288326767513521	9.998468999999993
10.372141	8	45.72	5.912833500108048	50.0	26.0	-5.329070518200751e-17	5.30004425339303e-15	1.0880185641326534e-14	-1.1546319456101628e-14	50	45.72	5.912833500108048	10.372141
8.934838	9	42.74	8.573937251928077	50.0	20.0	-1.3322676295501878e-17	4.8089776480018926e-15	1.021405182655144e-14	-1.0436096431476471e-14	50	42.74	8.573937251928077	8.934838
9.66810199999999	10	42.22	8.345753411166665	50.0	21.0	5.995204332975846e-16	4.0390762010682944e-15	8.215650382226158e-15	-8.215650382226158e-15	50	42.22	8.345753411166665	9.66810199999999
8.839822999999996	11	42.36	9.15370963052685	50.0	17.0	-1.1990408665951691e-16	4.542146956645915e-15	1.2434497875801753e-14	-1.021405182655144e-14	50	42.36	9.15370963052685	8.839822999999996
9.885672	12	47.64	5.4102125651401165	50.0	29.0	1.7319479184152442e-15	3.1155951981514785e-15	1.3322676295501878e-14	-3.774758283725532e-15	50	47.64	5.4102125651401165	9.885672
9.523496999999992	13	47.24	5.163564660193576	50.0	30.0	1.496580637194711e-15	4.107959615917678e-15	1.176836406102666e-14	-1.1546319456101628e-14	50	47.24	5.163564660193576	9.523496999999992
9.647304999999989	14	49.1	2.8583211855912904	50.0	35.0	1.8340884366807586e-15	3.572589360330402e-15	9.103828801926284e-15	-8.43769498715119e-15	50	49.1	2.8583211855912904	9.647304999999989
9.183418999999986	15	49.66	1.1244554237496478	50.0	45.0	2.544631172440859e-15	3.3230249281048666e-15	1.199040866595169e-14	-7.771561172376096e-15	50	49.66	1.1244554237496478	9.183418999999986
10.33216999999999	16	49.52	3.3600000000000008	50.0	26.0	2.3359092438113293e-15	2.6497802499471796e-15	7.771561172376096e-15	-4.440892098500626e-15	50	49.52	3.3600000000000008	10.33216999999999
6.494032000000004	17	49.54	1.7573844200970943	50.0	42.0	1.6964207816272391e-15	3.018421796031753e-15	5.995204332975845e-15	-6.439293542825908e-15	50	49.54	1.7573844200970943	6.494032000000004
10.694393999999988	18	49.68	1.8594622878671132	50.0	37.0	2.2470914018413167e-15	2.6677307852446206e-15	1.021405182655144e-14	-3.3306690738754696e-15	50	49.68	1.8594622878671132	10.694393999999988
11.392746000000017	19	49.34	2.5108564275959706	50.0	37.0	2.6689761511988762e-15	3.11321739929113e-15	7.993605777301127e-15	-6.661338147750939e-15	50	49.34	2.5108564275959706	11.392746000000017
13.271991999999983	20	49.82	0.8874683092933516	50.0	45.0	2.6512125828048737e-15	3.2255095364965116e-15	7.549516567451064e-15	-5.10702591327572e-15	50	49.82	0.8874683092933516	13.271991999999983
11.143888000000004	21	47.58	4.745903496701129	50.0	33.0	1.4743761767022078e-15	3.220109203518891e-15	8.215650382226158e-15	-6.8833827526759706e-15	50	47.58	4.745903496701129	11.143888000000004
11.022261000000015	22	48.12	3.6749965986378816	50.0	34.0	3.419486915845482e-16	4.050767949484676e-15	8.215650382226158e-15	-8.215650382226158e-15	50	48.12	3.6749965986378816	11.022261000000015
10.160811999999993	23	49.24	3.2283742038369723	50.0	31.0	2.7400304247748863e-15	2.383898840709228e-15	7.771561172376096e-15	-1.1102230246251565e-15	50	49.24	3.2283742038369723	10.160811999999993
7.651358999999985	24	50.0	0.0	50.0	50.0	3.0331293032759277e-15	2.2699041221984837e-15	7.549516567451064e-15	-1.5543122344752192e-15	50	50.0	0.0	7.651358999999985
11.212748000000005	25	50.0	0.0	50.0	50.0	2.544631172440859e-15	2.544212624627439e-15	8.215650382226158e-15	-2.220446049250313e-15	50	50.0	0.0	11.212748000000005
11.534885000000003	26	50.0	0.0	50.0	50.0	1.838529328779259e-15	2.5050882992668482e-15	7.771561172376096e-15	-2.886579864025407e-15	50	50.0	0.0	11.534885000000003
