Time	Iteration	Average_Return	Std_Return	Max_Return	Min_Return	Average_Advs	Std_Advs	Max_Advs	Min_Advs	Num_Total_Ep	Mean_Ep_Len	Std_Ep_Len	Sec_per_iteration: 
15.384711000000001	0	5.91	2.7022028051202964	20.0	3.0	-1.5543122344752193e-17	1.4995015936281704e-15	5.773159728050814e-15	-3.552713678800501e-15	100	5.91	2.7022028051202964	15.384711000000001
4.770862000000001	1	10.6	5.674504383644443	32.0	3.0	4.907185768843192e-16	2.023969155599685e-15	3.9968028886505635e-15	-5.10702591327572e-15	100	10.6	5.674504383644443	4.770862000000001
11.636632000000002	2	26.44	12.680946336926121	50.0	4.0	-5.861977570020827e-16	5.032387104490862e-15	1.199040866595169e-14	-1.354472090042691e-14	100	26.44	12.680946336926121	11.636632000000002
10.253309000000002	3	22.63	11.604012237153148	50.0	4.0	-1.1990408665951691e-16	4.175669085263181e-15	1.6209256159527285e-14	-1.199040866595169e-14	100	22.63	11.604012237153148	10.253309000000002
10.297021	4	22.62	11.341763531303231	50.0	6.0	-6.572520305780927e-16	4.46502053087189e-15	1.0658141036401503e-14	-1.176836406102666e-14	100	22.62	11.341763531303231	10.297021
14.016678999999996	5	35.03	13.191250888372943	50.0	6.0	-1.6431300764452317e-16	6.015124004138506e-15	1.3766765505351941e-14	-1.7541523789077473e-14	100	35.03	13.191250888372943	14.016678999999996
9.164725000000004	6	35.46	14.260028050463294	50.0	6.0	-2.5490720645393595e-15	6.8133676959639495e-15	1.4432899320127035e-14	-1.687538997430238e-14	100	35.46	14.260028050463294	9.164725000000004
6.669158999999993	7	31.76	14.89303192771707	50.0	8.0	1.2234657731369225e-15	5.4494193093024665e-15	1.354472090042691e-14	-1.5765166949677223e-14	100	31.76	14.89303192771707	6.669158999999993
8.569423	8	40.08	11.65133468749396	50.0	5.0	7.549516567451064e-16	4.714357849004515e-15	1.532107773982716e-14	-1.021405182655144e-14	100	40.08	11.65133468749396	8.569423
9.586404000000002	9	44.24	8.370328547912562	50.0	22.0	1.3744561044859439e-15	4.4544931520300836e-15	1.1324274851176597e-14	-9.325873406851315e-15	100	44.24	8.370328547912562	9.586404000000002
9.975655000000003	10	44.59	8.611730371998418	50.0	11.0	5.995204332975846e-16	4.790043054756282e-15	9.992007221626409e-15	-1.1546319456101628e-14	100	44.59	8.611730371998418	9.975655000000003
18.29189500000001	11	41.23	12.09533381101985	50.0	9.0	1.1790568521519162e-15	3.767527725193336e-15	1.2656542480726785e-14	-8.215650382226158e-15	100	41.23	12.09533381101985	18.29189500000001
18.99620299999998	12	43.86	9.274718324563825	50.0	13.0	1.3278267374516873e-15	3.7343096993315656e-15	9.992007221626409e-15	-9.992007221626409e-15	100	43.86	9.274718324563825	18.99620299999998
19.26292699999999	13	47.4	5.690342696182718	50.0	26.0	2.2515322939398176e-15	3.2336312436991236e-15	8.659739592076221e-15	-8.659739592076221e-15	100	47.4	5.690342696182718	19.26292699999999
17.509387000000004	14	47.57	5.557436459375851	50.0	24.0	2.504663143554353e-15	3.5149148976871538e-15	1.4210854715202004e-14	-8.659739592076221e-15	100	47.57	5.557436459375851	17.509387000000004
17.665136999999987	15	49.3	2.5592967784139455	50.0	34.0	2.369215934550084e-15	2.944759367899049e-15	1.3100631690576847e-14	-6.439293542825908e-15	100	49.3	2.5592967784139455	17.665136999999987
6.865973999999994	16	49.32	3.6902032464350794	50.0	25.0	2.240430063693566e-15	2.4849350922810775e-15	9.992007221626409e-15	-3.774758283725532e-15	100	49.32	3.6902032464350794	6.865973999999994
6.469290000000001	17	48.73	4.658014598517269	50.0	23.0	1.936228954946273e-15	3.0497129305307167e-15	1.2878587085651816e-14	-4.6629367034256575e-15	100	48.73	4.658014598517269	6.469290000000001
6.739317	18	48.72	5.437058028014782	50.0	15.0	1.9850787680297798e-15	2.3998944123734356e-15	6.661338147750939e-15	-5.995204332975845e-15	100	48.72	5.437058028014782	6.739317
6.574600000000004	19	49.75	1.7853571071357126	50.0	35.0	2.3958612871410876e-15	2.505720978458401e-15	7.993605777301127e-15	-4.440892098500626e-15	100	49.75	1.7853571071357126	6.574600000000004
7.8270510000000115	20	49.81	1.3761903938045783	50.0	38.0	2.0383694732117873e-15	2.26363121738954e-15	7.105427357601002e-15	-2.4424906541753444e-15	100	49.81	1.3761903938045783	7.8270510000000115
6.372191999999984	21	48.23	7.268913261279157	50.0	9.0	1.907363156306019e-15	2.8137695245447654e-15	7.771561172376096e-15	-5.329070518200751e-15	100	48.23	7.268913261279157	6.372191999999984
6.659613000000007	22	49.93	0.696491205974634	50.0	43.0	2.5779378631796134e-15	2.6036839029055083e-15	7.105427357601002e-15	-3.3306690738754696e-15	100	49.93	0.696491205974634	6.659613000000007
13.017775999999998	23	49.88	0.8863407922464136	50.0	42.0	2.426947531830592e-15	2.377486032623975e-15	7.105427357601002e-15	-1.7763568394002505e-15	100	49.88	0.8863407922464136	13.017775999999998
21.088321000000008	24	50.0	0.0	50.0	50.0	2.3492319201068313e-15	2.6634581250516448e-15	7.105427357601002e-15	-3.3306690738754696e-15	100	50.0	0.0	21.088321000000008
